sample_id,trait,population
IND0140,-1.2879561784403315,POP_A
IND0141,-1.3645831091074905,POP_A
IND0142,0.8164490119190198,POP_A
IND0143,3.5083930390545635,POP_A
IND0144,-0.9413640616932865,POP_A
IND0145,1.1761028941550702,POP_A
IND0146,-0.49929559853915206,POP_A
IND0147,-1.1849437664170246,POP_A
IND0148,-1.9571267900824125,POP_A
IND0149,-2.587467655123134,POP_A
IND0150,2.822911963041995,POP_B
IND0151,2.4768391149193243,POP_B
IND0152,2.023347355491632,POP_B
IND0153,-0.5883005890690799,POP_B
IND0154,2.986662727366871,POP_B
IND0155,0.4981705346949776,POP_B
IND0156,-0.7202865086743033,POP_B
IND0157,0.7674145322872779,POP_B
IND0158,-1.2184363064456032,POP_B
IND0159,-0.23131123735001397,POP_B
IND0160,1.7138410619677282,POP_B
IND0161,0.8294839507253788,POP_B
IND0162,-0.7849023641416206,POP_B
IND0163,1.327536545533485,POP_B
IND0164,3.6919436395720915,POP_B
IND0165,2.0863917382782233,POP_B
IND0166,0.7510779774006909,POP_B
IND0167,1.4706842913578297,POP_B
IND0168,2.677312151918983,POP_B
IND0169,-0.55258425475633,POP_B
IND0170,0.2835149997730936,POP_B
IND0171,0.6153575296846661,POP_B
IND0172,1.8069779733489129,POP_B
IND0173,2.591924553963437,POP_B
IND0174,0.8845877925038781,POP_B
IND0175,-0.7314338215425016,POP_B
IND0176,-2.125171193393891,POP_B
IND0177,4.006204732996629,POP_B
IND0178,2.216700930961296,POP_B
IND0179,-0.3814414929381995,POP_B
IND0180,-1.1401993152842136,POP_B
IND0181,2.961444292242202,POP_B
IND0182,0.2711758528438115,POP_B
IND0183,-1.3856581993310493,POP_B
IND0184,2.6984165091816714,POP_B
IND0185,1.4852105187292945,POP_B
IND0186,2.2364201062294273,POP_B
IND0187,3.2634724854070396,POP_B
IND0188,3.7644899327304855,POP_B
IND0189,3.4625715758063436,POP_B
IND0190,1.468806441789045,POP_B
IND0191,2.3223474144369103,POP_B
IND0192,-1.9369525324419081,POP_B
IND0193,-1.482598575683671,POP_B
IND0194,2.3972328551818096,POP_B
IND0195,-0.21727261886890337,POP_B
IND0196,-2.82053777205903,POP_B
IND0197,-1.026461641504867,POP_B
IND0198,4.156365667830694,POP_B
IND0199,-0.8980313009057364,POP_B
IND0200,-0.741335263525769,POP_B
IND0201,1.8860621294037618,POP_B
IND0202,-0.7048694469213024,POP_B
IND0203,3.559441646498816,POP_B
IND0204,-1.0971717571784592,POP_B
IND0205,2.2071144109533174,POP_B
IND0206,2.2157258834874396,POP_B
IND0207,0.4889155400845837,POP_B
IND0208,0.8323097450869454,POP_B
IND0209,1.6138072014833797,POP_B
IND0210,0.28979292704282544,POP_B
IND0211,0.5940205489266857,POP_B
IND0212,-0.4153961607193093,POP_B
IND0213,1.921591713270918,POP_B
IND0214,0.575088632403641,POP_B
IND0215,1.3859134309064474,POP_B
IND0216,-2.6818939278732183,POP_B
IND0217,0.22060661060078313,POP_B
IND0218,-1.1488154128190566,POP_B
IND0219,0.5941511377918003,POP_B
IND0220,1.5004631553456274,POP_B
IND0221,3.2609433353808606,POP_B
IND0222,-4.419976005645388,POP_B
IND0223,0.5307117116874902,POP_B
IND0224,-0.848696050167487,POP_B
IND0225,-1.5965460942984608,POP_B
IND0226,-1.626063022875776,POP_B
IND0227,1.712102545583425,POP_B
IND0228,2.363602347307092,POP_B
IND0229,0.004002252364596878,POP_B
IND0230,-0.5728702396013445,POP_B
IND0231,0.03295475460900943,POP_B
IND0232,4.499478674765639,POP_B
IND0233,0.21257741872596903,POP_B
IND0234,0.7830300631342446,POP_B
IND0235,2.2652749451551415,POP_B
IND0236,5.275298731977747,POP_B
IND0237,-1.7352152398415546,POP_B
IND0238,1.873293016161468,POP_B
IND0239,-0.4154564432077163,POP_B
IND0240,3.0272906239767603,POP_B
IND0241,0.1980010733270493,POP_B
IND0242,2.318317099927243,POP_B
IND0243,3.340932521931097,POP_B
IND0244,2.998361020335971,POP_B
IND0245,-0.6246628340015992,POP_B
IND0246,3.293092419415511,POP_B
IND0247,2.2453829586935825,POP_B
IND0248,0.38355105599117517,POP_B
IND0249,1.7887022244836719,POP_B
IND0250,0.7401598617762152,POP_B
IND0251,0.8228943160682834,POP_B
IND0252,-0.2058449162869555,POP_B
IND0253,3.0678055323124553,POP_B
IND0254,0.455101154714452,POP_B
IND0255,0.4649759769883179,POP_B
IND0256,2.2946973205273657,POP_B
IND0257,0.9835355244178688,POP_B
IND0258,-0.7039839825413442,POP_B
IND0259,2.371583976165935,POP_B
IND0260,0.524438201552351,POP_B
IND0261,2.6011582810805542,POP_B
IND0262,1.0097062914590296,POP_B
IND0263,3.6263096780311814,POP_B
IND0264,0.8016165836494035,POP_B
IND0265,-1.0948374209819147,POP_B
IND0266,1.6991329252388243,POP_B
IND0267,-0.8094046172458006,POP_B
IND0268,-0.39864705586931576,POP_B
IND0269,-0.761134855647738,POP_B
IND0270,3.096263023866689,POP_B
IND0271,1.1488625688211938,POP_B
IND0272,-1.1109459436412448,POP_B
IND0273,0.9066967274373505,POP_B
IND0274,1.4485753561118062,POP_B
IND0275,1.3510597779274116,POP_B
IND0276,0.7243240177231303,POP_B
IND0277,1.3965117319340392,POP_B
IND0278,-1.137678962142953,POP_B
IND0279,1.8459258952344813,POP_B
IND0280,4.711955098467838,POP_B
IND0281,-4.122317079797552,POP_B
IND0282,-2.8561038492452915,POP_B
IND0283,2.546743984109787,POP_B
IND0284,3.0460411940133243,POP_B
IND0285,-1.0492980201533844,POP_B
IND0286,-1.6104581416892376,POP_B
IND0287,1.3114466150405644,POP_B
IND0288,2.897253603947511,POP_B
IND0289,-0.8394191743093069,POP_B
IND0290,-1.2799644118609232,POP_B
IND0291,0.47965183529981803,POP_B
IND0292,1.5033494475153237,POP_B
IND0293,-0.06944737937749434,POP_B
IND0294,-1.2747858767046645,POP_B
IND0295,0.8501308114986263,POP_B
IND0296,1.9608767768750064,POP_B
IND0297,1.8455311739990585,POP_B
IND0298,2.3473152787610196,POP_B
IND0299,1.8103970891417345,POP_B
